# Parametric Fisher Information & CRLB Results
# G(t) = 1e-3 + 1e-4 * cos(2*pi*t)
# theta_true = (1.000000e-03, 1.000000e-04)
# theta_fit  = (1.000260e-03, 9.912823e-05)
# sigma per channel = (1.00e-05, 1.00e-05, 1.00e-05)
# F_scalar = 15000000000.0000
# CRLB_scalar = 6.666667e-11
#
# Fisher parametric (2x2):
#   7.500000e+12  1.500000e+10
#   1.500000e+10  3.757500e+12
#
# CRLB parametric (2x2):
#   1.333344e-13  -5.322730e-16
#   -5.322730e-16  2.661365e-13
#
# t	G_true	G_hat	G_recon	G_fit
0.54308617	0.00090364	0.00089032	0.00090364	0.00090474
0.54509018	0.00090399	0.00091596	0.00090399	0.00090508
0.54709419	0.00090435	0.00091090	0.00090435	0.00090544
0.54909820	0.00090472	0.00090232	0.00090472	0.00090581
0.55110220	0.00090511	0.00089772	0.00090511	0.00090620
0.55310621	0.00090552	0.00090200	0.00090552	0.00090660
0.55511022	0.00090594	0.00090028	0.00090594	0.00090701
0.55711423	0.00090637	0.00090634	0.00090637	0.00090745
0.55911824	0.00090682	0.00090839	0.00090682	0.00090789
0.56112224	0.00090728	0.00090923	0.00090728	0.00090835
0.56312625	0.00090776	0.00090328	0.00090776	0.00090883
0.56513026	0.00090826	0.00092137	0.00090826	0.00090932
0.56713427	0.00090877	0.00090458	0.00090877	0.00090982
0.56913828	0.00090929	0.00092724	0.00090929	0.00091034
0.57114228	0.00090983	0.00090402	0.00090983	0.00091087
0.57314629	0.00091038	0.00091492	0.00091038	0.00091142
0.57515030	0.00091094	0.00091793	0.00091094	0.00091198
0.57715431	0.00091152	0.00091293	0.00091152	0.00091255
0.57915832	0.00091212	0.00089689	0.00091212	0.00091314
0.58116232	0.00091272	0.00091420	0.00091272	0.00091374
0.58316633	0.00091335	0.00091144	0.00091335	0.00091436
0.58517034	0.00091398	0.00091186	0.00091398	0.00091499
0.58717435	0.00091463	0.00091178	0.00091463	0.00091563
0.58917836	0.00091529	0.00091046	0.00091529	0.00091629
0.59118236	0.00091597	0.00091837	0.00091597	0.00091696
0.59318637	0.00091666	0.00092239	0.00091666	0.00091764
0.59519038	0.00091736	0.00092395	0.00091736	0.00091834
0.59719439	0.00091807	0.00092368	0.00091807	0.00091905
0.59919840	0.00091880	0.00092320	0.00091880	0.00091977
0.60120240	0.00091954	0.00092027	0.00091954	0.00092051
0.60320641	0.00092030	0.00091312	0.00092030	0.00092125
0.60521042	0.00092107	0.00092669	0.00092107	0.00092201
0.60721443	0.00092184	0.00092283	0.00092184	0.00092279
0.60921844	0.00092264	0.00091960	0.00092264	0.00092357
0.61122244	0.00092344	0.00092216	0.00092344	0.00092437
0.61322645	0.00092426	0.00093426	0.00092426	0.00092518
0.61523046	0.00092508	0.00091795	0.00092508	0.00092600
0.61723447	0.00092592	0.00093794	0.00092592	0.00092683
0.61923848	0.00092678	0.00091946	0.00092678	0.00092767
0.62124248	0.00092764	0.00092494	0.00092764	0.00092853
