# Signal Processing Proof Results
# H shape: (3, 1), sigma_z: 1e-05
# SVD singular values: [1.224744871391589]
# Condition number: 1.00
# Fisher F: 45000000000.0000
# CRLB: 2.222222e-11
# LS RMS error: 7.797385e-06
# Reg RMS error: 7.797385e-06
# Iter RMS error: 7.797385e-06
# All checks pass: True
#
# t	G_true	x_hat_LS	x_hat_reg	x_hat_iter
0.28657315	0.00097722	0.00097386	0.00097386	0.00097386
0.28857715	0.00097600	0.00097633	0.00097633	0.00097633
0.29058116	0.00097478	0.00097913	0.00097913	0.00097913
0.29258517	0.00097356	0.00095267	0.00095267	0.00095267
0.29458918	0.00097235	0.00095856	0.00095856	0.00095856
0.29659319	0.00097114	0.00097917	0.00097917	0.00097917
0.29859719	0.00096994	0.00097142	0.00097142	0.00097142
0.30060120	0.00096874	0.00097327	0.00097327	0.00097327
0.30260521	0.00096755	0.00096643	0.00096643	0.00096643
0.30460922	0.00096636	0.00095880	0.00095880	0.00095880
0.30661323	0.00096517	0.00095862	0.00095862	0.00095862
0.30861723	0.00096400	0.00098000	0.00098000	0.00098000
0.31062124	0.00096282	0.00096163	0.00096163	0.00096163
0.31262525	0.00096166	0.00097185	0.00097185	0.00097185
0.31462926	0.00096050	0.00097109	0.00097109	0.00097109
0.31663327	0.00095935	0.00095534	0.00095534	0.00095534
0.31863727	0.00095820	0.00096101	0.00096101	0.00096101
0.32064128	0.00095706	0.00094032	0.00094032	0.00094032
0.32264529	0.00095592	0.00096698	0.00096698	0.00096698
0.32464930	0.00095480	0.00095778	0.00095778	0.00095778
0.32665331	0.00095368	0.00094091	0.00094091	0.00094091
0.32865731	0.00095257	0.00096002	0.00096002	0.00096002
0.33066132	0.00095146	0.00096270	0.00096270	0.00096270
0.33266533	0.00095036	0.00095961	0.00095961	0.00095961
0.33466934	0.00094927	0.00096881	0.00096881	0.00096881
0.33667335	0.00094819	0.00093970	0.00093970	0.00093970
0.33867735	0.00094712	0.00094858	0.00094858	0.00094858
0.34068136	0.00094606	0.00094681	0.00094681	0.00094681
0.34268537	0.00094500	0.00093359	0.00093359	0.00093359
0.34468938	0.00094395	0.00094264	0.00094264	0.00094264
0.34669339	0.00094291	0.00094374	0.00094374	0.00094374
0.34869739	0.00094189	0.00093653	0.00093653	0.00093653
0.35070140	0.00094087	0.00094285	0.00094285	0.00094285
0.35270541	0.00093985	0.00093060	0.00093060	0.00093060
